,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
0,0.1,0.1,0.1,True,3.8979938317534146,-3.689961205091822
1,0.1,0.2,0.1,True,3.9139633948422112,-3.728468219399372
2,0.1,0.3,0.1,True,3.9298074119526176,-3.766828091733972
3,0.1,0.4,0.1,True,3.9455278772187783,-3.8050419953004733
4,0.1,0.5,0.1,True,3.9611266837484376,-3.8431109622491544
5,0.1,0.6,0.1,True,3.9766056295404018,-3.8810358918667456
6,0.1,0.7,0.1,True,3.9919664230253966,-3.918817558310872
7,0.1,0.8,0.1,True,4.007210688255084,-3.956456617911506
8,0.1,0.9,0.1,True,4.0223399697624345,-3.993953616062255
9,0.2,0.1,0.1,True,4.891369095022828,-6.384954530163955
10,0.2,0.2,0.1,True,4.906069812092673,-6.429411313736279
11,0.2,0.3,0.1,True,4.920456252110349,-6.47304684872313
12,0.2,0.4,0.1,True,4.934529290213331,-6.5158554275483995
13,0.2,0.5,0.1,True,4.948289782484582,-6.5578314970842095
14,0.2,0.6,0.1,True,4.961738567579104,-6.598969661151311
15,0.2,0.7,0.1,True,4.974876468226211,-6.6392646827765205
16,0.2,0.8,0.1,True,4.987704292617785,-6.678711486225057
17,0.2,0.9,0.1,True,5.000222835691867,-6.717305158824094
18,0.3,0.1,0.1,True,5.176708740713939,-7.271693177900964
19,0.3,0.2,0.1,True,5.177802345423252,-7.275188417277221
20,0.3,0.3,0.1,True,5.178270298747392,-7.276684255340204
21,0.3,0.4,0.1,True,5.178115106437154,-7.276188159760505
22,0.3,0.5,0.1,True,5.177339291655496,-7.27370837397803
23,0.3,0.6,0.1,True,5.175945395831942,-7.269253910237248
24,0.3,0.7,0.1,True,5.173935979496256,-7.262834542489337
25,0.3,0.8,0.1,True,5.1713136230962995,-7.254460799171401
26,0.3,0.9,0.1,True,5.1680809278046524,-7.2441439558719125
27,0.4,0.1,0.1,True,4.853636844660064,-6.271458212628627
28,0.4,0.2,0.1,True,4.83084259834232,-6.203320355102533
29,0.4,0.3,0.1,True,4.8071058243656895,-6.132705959306905
